Index	Label
0	8
1	8
2	9
3	1
4	0
5	7
6	7
7	7
8	3
9	5
10	0
11	6
12	9
13	2
14	8
15	3
16	7
17	8
18	9
19	4
20	3
21	3
22	4
23	9
24	0
25	6
26	5
27	8
28	0
29	1
30	4
31	9
32	2
33	3
34	8
35	7
36	6
37	4
38	3
39	9
40	1
41	5
42	5
43	3
44	4
45	8
46	0
47	5
48	9
49	8
50	9
51	9
52	4
53	3
54	0
55	6
56	5
57	1
58	4
59	0
60	0
61	7
62	1
63	5
64	7
65	4
66	9
67	7
68	0
69	5
70	9
71	3
72	8
73	4
74	7
75	0
76	3
77	4
78	5
79	7
80	1
81	0
82	0
83	7
84	3
85	4
86	3
87	5
88	5
89	7
90	6
91	2
92	6
93	2
94	6
95	7
96	7
97	1
98	8
99	4
100	3
101	5
102	4
103	5
104	8
105	7
106	9
107	7
108	5
109	9
110	5
111	9
112	5
113	1
114	6
115	9
116	4
117	1
118	3
119	3
120	4
121	8
122	4
123	3
124	5
125	9
126	9
127	7
128	8
129	4
130	6
131	3
132	2
133	1
134	7
135	4
136	7
137	6
138	5
139	1
140	1
141	0
142	0
143	7
144	9
145	4
146	3
147	1
148	1
149	2
150	2
151	3
152	9
153	4
154	3
155	0
156	1
157	8
158	4
159	6
160	3
161	2
162	5
163	0
164	2
165	1
166	6
167	8
168	8
169	2
170	8
171	0
172	8
173	8
174	1
175	4
176	8
177	9
178	0
179	4
180	6
181	0
182	4
183	6
184	5
185	0
186	5
187	8
188	5
189	4
190	2
191	3
192	4
193	0
194	1
195	5
196	4
197	0
198	8
199	4
200	4
201	0
202	2
203	6
204	2
205	2
206	1
207	5
208	4
209	3
210	6
211	0
212	0
213	1
214	1
215	0
216	4
217	0
218	7
219	9
220	7
221	2
222	0
223	3
224	3
225	2
226	6
227	7
228	9
229	8
230	9
231	0
232	8
233	8
234	2
235	6
236	3
237	3
238	9
239	6
240	6
241	0
242	8
243	1
244	4
245	5
246	4
247	7
248	0
249	0
250	9
251	8
252	8
253	4
254	9
255	0
256	3
257	2
258	1
259	4
260	7
261	0
262	6
263	3
264	0
265	7
266	1
267	6
268	6
269	0
270	2
271	8
272	4
273	1
274	7
275	1
276	5
277	9
278	0
279	9
280	5
281	3
282	2
283	2
284	7
285	6
286	7
287	4
288	9
289	8
290	5
291	6
292	5
293	5
294	7
295	4
296	3
297	3
298	5
299	8
300	4
301	3
302	1
303	0
304	1
305	1
306	8
307	3
308	3
309	2
310	7
311	9
312	3
313	1
314	0
315	7
316	1
317	2
318	7
319	4
320	1
321	3
322	7
323	3
324	8
325	5
326	1
327	9
328	1
329	3
330	0
331	5
332	1
333	6
334	1
335	8
336	7
337	5
338	0
339	7
340	2
341	2
342	1
343	4
344	2
345	5
346	4
347	7
348	5
349	1
350	8
351	9
352	1
353	4
354	2
355	9
356	0
357	5
358	3
359	0
360	9
361	7
362	9
363	4
364	4
365	5
366	2
367	0
368	7
369	9
370	8
371	5
372	6
373	6
374	0
375	4
376	2
377	1
378	8
379	4
380	5
381	8
382	4
383	4
384	0
385	9
386	0
387	3
388	2
389	8
390	1
391	2
392	3
393	6
394	1
395	8
396	8
397	9
398	5
399	3
400	7
401	4
402	8
403	0
404	3
405	4
406	7
407	9
408	2
409	4
410	6
411	2
412	4
413	1
414	1
415	0
416	7
417	0
418	6
419	1
420	6
421	2
422	5
423	9
424	0
425	9
426	7
427	1
428	5
429	0
430	5
431	8
432	6
433	7
434	2
435	2
436	6
437	9
438	7
439	4
440	5
441	5
442	0
443	1
444	5
445	7
446	3
447	2
448	9
449	3
450	1
451	6
452	8
453	0
454	3
455	2
456	7
457	0
458	0
459	1
460	8
461	3
462	8
463	0
464	6
465	1
466	0
467	4
468	9
469	7
470	6
471	4
472	7
473	6
474	4
475	1
476	8
477	8
478	4
479	4
480	1
481	3
482	6
483	6
484	7
485	1
486	3
487	9
488	9
489	3
490	8
491	7
492	4
493	5
494	0
495	1
496	0
497	8
498	0
499	0
